"Name","PFS","Source","Rarity","Traits","Level","Prerequisites","Benefits","Spoilers?"
"<u><a href=""Feats.aspx?ID=762"">Bonded Animal</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=49"">Downtime</a></u>, <u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","expert in <u><a href=""Skills.aspx?ID=10"">Nature</a></u>","An animal becomes permanently helpful to you.","—"
"<u><a href=""Feats.aspx?ID=3772"">Chromotherapy</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=129"" title=""Dark Archive"">Dark Archive</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=89"">Healing</a></u>, <u><a href=""Traits.aspx?ID=104"">Manipulate</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","expert in <u><a href=""Skills.aspx?ID=9"">Medicine</a></u>","You firmly believe in the technique of strengthening one's life force, spiritual energies, and bodily fluids through the application of colored light.","—"
"<u><a href=""Feats.aspx?ID=769"">Confabulator</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","expert in <u><a href=""Skills.aspx?ID=5"">Deception</a></u>","Reduce the bonuses against your repeated lies.","—"
"<u><a href=""Feats.aspx?ID=770"">Connections</a></u>","<img alt=""PFS Limited"" title=""PFS Limited"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Limited.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","expert in <u><a href=""Skills.aspx?ID=14"">Society</a></u>; <u><a href=""Feats.aspx?ID=772"">Courtly Graces</a></u>","Leverage your connections for favors and meetings.","—"
"<u><a href=""Feats.aspx?ID=771"">Continual Recovery</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","expert in <u><a href=""Skills.aspx?ID=9"">Medicine</a></u>","Treat Wounds on a patient more often.","—"
"<u><a href=""Feats.aspx?ID=2119"">Criminal Connections</a></u>","<img alt=""PFS Limited"" title=""PFS Limited"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Limited.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","expert in <u><a href=""Skills.aspx?ID=14"">Society</a></u>; <u><a href=""Feats.aspx?ID=846"">Streetwise</a></u>","Leverage your underworld connections for favors from criminals.","—"
"<u><a href=""Feats.aspx?ID=2121"">Discreet Inquiry</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","expert in <u><a href=""Skills.aspx?ID=5"">Deception</a></u> or <u><a href=""Skills.aspx?ID=6"">Diplomacy</a></u>","Gather Information without revealing your motive.","—"
"<u><a href=""Feats.aspx?ID=2122"">Distracting Performance</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","expert in <u><a href=""Skills.aspx?ID=12"">Performance</a></u>","Create a Diversion for an ally.","—"
"<u><a href=""Feats.aspx?ID=3021"">Embed Aeon Stone</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=96"" title=""Secrets of Magic"">Secrets of Magic</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=49"">Downtime</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","<u><a href=""Feats.aspx?ID=3020"">Runelord Dedication</a></u>; trained in <u><a href=""Skills.aspx?ID=4"">Crafting</a></u>","You discover the secrets to embedding <u><a href=""Equipment.aspx?ID=407""><i>aeon stones</i></a></u> into your flesh.","—"
"<u><a href=""Feats.aspx?ID=1210"">Encouraging Words</a></u>","—","<u><a href=""Sources.aspx?ID=22"" title=""Gamemastery Guide"">Gamemastery Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=16"">Auditory</a></u>, <u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=101"">Linguistic</a></u>, <u><a href=""Traits.aspx?ID=106"">Mental</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>, <u><a href=""Traits.aspx?ID=295"">Stamina</a></u>","2","trained in <u><a href=""Skills.aspx?ID=6"">Diplomacy</a></u>","You give an ally a quick pep talk, helping them recover.","—"
"<u><a href=""Feats.aspx?ID=2125"">Exhort the Faithful</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","expert in <u><a href=""Skills.aspx?ID=13"">Religion</a></u>; follower of a specific religion","+2 to Request something of or Coerce members of your own faith.","—"
"<u><a href=""Feats.aspx?ID=3141"">Express Driver</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=98"" title=""Guns & Gears"">Guns & Gears</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=66"">Exploration</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","<u><a href=""Feats.aspx?ID=3140"">Trick Driver Dedication</a></u>","You can optimize your vehicle's performance, coaxing extra speed and choosing paths to avoid slowdowns.","—"
"<u><a href=""Feats.aspx?ID=870"">Eye of the Arclords</a></u>","<img alt=""PFS Limited"" title=""PFS Limited"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Limited.png"">","<u><a href=""Sources.aspx?ID=6"" title=""World Guide"">World Guide</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","expert in <u><a href=""Skills.aspx?ID=2"">Arcana</a></u>; <u><a href=""Feats.aspx?ID=754"">Arcane Sense</a></u>","The Arclords of Nex have achieved a unique mastery of magic.","—"
"<u><a href=""Feats.aspx?ID=3830"">Familiar Oddities</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=129"" title=""Dark Archive"">Dark Archive</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","<u><a href=""Feats.aspx?ID=3829"">Curse Maelstrom Dedication</a></u>; trained in <u><a href=""Skills.aspx?ID=11"">Occultism</a></u> or <u><a href=""Skills.aspx?ID=8"">Curse Lore</a></u>","Perhaps due to the curse within you, curses occasionally perceive you as an extension of themselves and readily reveal themselves to you.","—"
"<u><a href=""Feats.aspx?ID=1983"">Fresh Ingredients</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","<u><a href=""Feats.aspx?ID=1982"">Herbalist Dedication</a></u>; expert in <u><a href=""Skills.aspx?ID=10"">Nature</a></u>","When using Natural Medicine to Treat Wounds, you can spend a batch of herbs to gain the +2 circumstance bonus from having fresh ingredients, even if not in wilderness.","—"
"<u><a href=""Feats.aspx?ID=787"">Glad-Hand</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","expert in <u><a href=""Skills.aspx?ID=6"">Diplomacy</a></u>","Make an Impression on a target you've just met.","—"
"<u><a href=""Feats.aspx?ID=869"">Godless Healing</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=6"" title=""World Guide"">World Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","<u><a href=""Feats.aspx?ID=760"">Battle Medicine</a></u>; can't have a patron deity","With limited access to divine healing magic, Rahadoumi often become adept at using ordinary medicine for when dangerous situations arise.","—"
"<u><a href=""Feats.aspx?ID=797"">Intimidating Prowess</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","Strength 16; expert in <u><a href=""Skills.aspx?ID=7"">Intimidation</a></u>","Gain a bonus to physically Demoralize a target.","—"
"<u><a href=""Feats.aspx?ID=1199"">Juggle</a></u>","<img alt=""PFS Limited"" title=""PFS Limited"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Limited.png"">","<u><a href=""Sources.aspx?ID=21"" title=""Pathfinder #151: The Show Must Go On"">Pathfinder #151</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=32"">Concentrate</a></u>, <u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=104"">Manipulate</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","Dexterity 16; trained in <u><a href=""Skills.aspx?ID=12"">Performance</a></u>","You can Juggle items and still use your hands between tosses.","Extinction Curse"
"<u><a href=""Feats.aspx?ID=800"">Lasting Coercion</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","expert in <u><a href=""Skills.aspx?ID=7"">Intimidation</a></u>","Coerce a target into helping you longer.","—"
"<u><a href=""Feats.aspx?ID=2137"">Lead Climber</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","expert in <u><a href=""Skills.aspx?ID=3"">Athletics</a></u>","Make Climbing safer for allies who Follow the Expert.","—"
"<u><a href=""Feats.aspx?ID=812"">Magical Crafting</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","expert in <u><a href=""Skills.aspx?ID=4"">Crafting</a></u>","Craft magic items.","—"
"<u><a href=""Feats.aspx?ID=813"">Magical Shorthand</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","expert in <u><a href=""Skills.aspx?ID=2"">Arcana</a></u>, <u><a href=""Skills.aspx?ID=10"">Nature</a></u>, <u><a href=""Skills.aspx?ID=11"">Occultism</a></u>, or <u><a href=""Skills.aspx?ID=13"">Religion</a></u>","Learn spells quickly and at a reduced cost.","—"
"<u><a href=""Feats.aspx?ID=3863"">Malleable Movement</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=129"" title=""Dark Archive"">Dark Archive</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","<u><a href=""Feats.aspx?ID=3862"">Mind Smith Dedication</a></u>; expert in <u><a href=""Skills.aspx?ID=3"">Athletics</a></u>","You shift the shape of your weapon to help you Leap farther and faster.","—"
"<u><a href=""Feats.aspx?ID=1181"">Mortal Healing</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=17"" title=""Gods & Magic"">Gods & Magic</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","<u><a href=""Feats.aspx?ID=869"">Godless Healing</a></u>, you follow the <u><a href=""Deities.aspx?ID=201"">Laws of Mortality</a></u>","You grant greater healing when the gods don’t interfere","—"
"<u><a href=""Feats.aspx?ID=816"">Nimble Crawl</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","expert in <u><a href=""Skills.aspx?ID=1"">Acrobatics</a></u>","Crawl at a faster rate.","—"
"<u><a href=""Feats.aspx?ID=820"">Powerful Leap</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","expert in <u><a href=""Skills.aspx?ID=3"">Athletics</a></u>","Jump farther and higher.","—"
"<u><a href=""Feats.aspx?ID=2144"">Quick Contacts</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","expert in <u><a href=""Skills.aspx?ID=14"">Society</a></u>; <u><a href=""Feats.aspx?ID=770"">Connections</a></u>, or <u><a href=""Feats.aspx?ID=2119"">Criminal Connections</a></u>","Spend only 1 day to use Connections or Criminal Connections.","—"
"<u><a href=""Feats.aspx?ID=823"">Quick Disguise</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","expert in <u><a href=""Skills.aspx?ID=5"">Deception</a></u>","Set up a disguise in only half the time.","—"
"<u><a href=""Feats.aspx?ID=831"">Quiet Allies</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","expert in <u><a href=""Skills.aspx?ID=15"">Stealth</a></u>","Roll a single Stealth check when sneaking with allies.","—"
"<u><a href=""Feats.aspx?ID=832"">Rapid Mantel</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","expert in <u><a href=""Skills.aspx?ID=3"">Athletics</a></u>","Pull yourself onto ledges quickly.","—"
"<u><a href=""Feats.aspx?ID=836"">Robust Recovery</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","expert in <u><a href=""Skills.aspx?ID=9"">Medicine</a></u>","Greater benefits from Treat Disease and Treat Poison.","—"
"<u><a href=""Feats.aspx?ID=2150"">Shadow Mark</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","expert in <u><a href=""Skills.aspx?ID=15"">Stealth</a></u>","Targets you’re following take a penalty to notice you.","—"
"<u><a href=""Feats.aspx?ID=1065"">Sow Rumor</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=12"" title=""Character Guide"">Character Guide</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=142"">Secret</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","expert in <u><a href=""Skills.aspx?ID=5"">Deception</a></u>","You spread rumors, which may or may not be true, about a specific subject.","—"
"<u><a href=""Feats.aspx?ID=3423"">Spirit Speaker</a></u>","<img alt=""PFS Limited"" title=""PFS Limited"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Limited.png"">","<u><a href=""Sources.aspx?ID=112"" title=""Pathfinder #175: Broken Tusk Moon"">Pathfinder #175</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=117"">Necromancy</a></u>, <u><a href=""Traits.aspx?ID=142"">Secret</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","expert in <u><a href=""Skills.aspx?ID=10"">Nature</a></u>","You know that when an animal dies, its spirit lingers briefly before moving on.","<u><a href=""Setting.aspx?Group=14"">Quest for the Frozen Flame</a></u>"
"<u><a href=""Feats.aspx?ID=2962"">Tattoo Artist</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=96"" title=""Secrets of Magic"">Secrets of Magic</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","trained in <u><a href=""Skills.aspx?ID=4"">Crafting</a></u>","You can craft tattoos, including magical tattoos.","—"
"<u><a href=""Feats.aspx?ID=2153"">Terrifying Resistance</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","expert in <u><a href=""Skills.aspx?ID=7"">Intimidation</a></u>","+1 to spell saves from a creature you’ve Demoralized.","—"
"<u><a href=""Feats.aspx?ID=927"">Tweak Appearances</a></u>","<img alt=""PFS Limited"" title=""PFS Limited"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Limited.png"">","<u><a href=""Sources.aspx?ID=8"" title=""Pathfinder #147: Tomorrow Must Burn"">Pathfinder #147</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","expert in <u><a href=""Skills.aspx?ID=4"">Crafting</a></u>","You can alter a creature's clothing to improve their social impact.","<u><a href=""Setting.aspx?Group=2"">Age of Ashes</a></u>"
"<u><a href=""Feats.aspx?ID=2156"">Underground Network</a></u>","<img alt=""PFS Limited"" title=""PFS Limited"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Limited.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","expert in <u><a href=""Skills.aspx?ID=14"">Society</a></u>; <u><a href=""Feats.aspx?ID=846"">Streetwise</a></u>","Gather Information without drawing attention and gain a bonus to Recall Knowledge about that subject.","—"
"<u><a href=""Feats.aspx?ID=860"">Unmistakable Lore</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","expert in <u><a href=""Skills.aspx?ID=8"">Lore</a></u>","Recall Knowledge about your Lore more effectively.","—"
"<u><a href=""Feats.aspx?ID=864"">Ward Medic</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","expert in <u><a href=""Skills.aspx?ID=9"">Medicine</a></u>","Treat several patients at once.","—"
"<u><a href=""Feats.aspx?ID=865"">Wary Disarmament</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","2","expert in <u><a href=""Skills.aspx?ID=17"">Thievery</a></u>","+2 to AC or saves against devices or traps you trigger while disarming.","—"
